Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds?,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
475,Kevin Rader\RadeKe00,PIT,26,te,6,1,3,2,0.667,8,4,0,0,7,2.7,0.3,1.3,0
476,Ethan Wolf\WolfEt00,NOR,26,te,2,1,2,2,1,8,4,0,0,4,4,1,4,0
477,Hunter Long\LongHu00,MIA,23,te,7,2,3,1,0.333,8,8,0,0,8,2.7,0.1,1.1,0
478,Johnny Stanton\StanJo02,CLE,27,,4,0,2,2,1,7,3.5,1,1,6,3.5,0.5,1.8,0
479,Tommylee Lewis\LewiTo00,MIA,29,,2,0,2,1,0.5,7,7,0,1,7,3.5,0.5,3.5,0
480,Devine Ozigbo\OzigDe01,2TM,25,,3,0,1,1,1,7,7,0,1,7,7,0.3,2.3,0
481,Eric Tomlinson\TomlEr01,BAL,29,te,17,7,1,1,1,7,7,0,0,7,7,0.1,0.4,0
482,Trey Ragas\RagaTr00,LVR,25,,1,0,2,2,1,6,3,0,0,4,3,2,6,0
483,Miles Boykin\BoykMi00,BAL,25,,8,0,1,1,1,6,6,0,0,6,6,0.1,0.8,0
484,Gary Brightwell\BrigGa00,NYG,22,,13,0,1,1,1,6,6,0,0,6,6,0.1,0.5,0
485,Amani Hooker\HookAm00,TEN,23,DB,12,12,1,1,1,6,6,0,1,6,6,0.1,0.5,0
486,Keke Coutee\CoutKe00,IND,24,,2,0,1,1,1,5,5,0,0,5,5,0.5,2.5,0
487,Kylin Hill\HillKy00,GNB,23,,8,0,2,1,0.5,5,5,0,0,5,2.5,0.1,0.6,0
488,Lane Johnson\JohnLa01,PHI,31,T,13,13,1,1,1,5,5,1,1,5,5,0.1,0.4,0
489,Easop Winston\WinsEa00,NOR,25,,3,1,1,1,1,5,5,0,0,5,5,0.3,1.7,0
490,Khari Blasingame\BlasKh00,TEN,25,fb,11,3,2,2,1,4,2,0,0,5,2,0.2,0.4,1
491,Taylor Decker\DeckTa00,DET,28,t,9,9,2,2,1,4,2,1,1,6,2,0.2,0.4,0
492,Nick Bellore\BellNi01,SEA,32,,17,0,1,1,1,4,4,0,0,4,4,0.1,0.2,0
493,Ryan Nall\NallRy00,CHI,26,,9,0,1,1,1,4,4,0,0,4,4,0.1,0.4,0
494,Trayveon Williams\WillTr06,CIN,24,,5,0,2,1,0.5,4,4,0,0,4,2,0.2,0.8,0
495,Patrick Taylor\TaylPa01,GNB,23,,9,0,2,2,1,3,1.5,0,1,3,1.5,0.2,0.3,0
496,Nick Boyle\BoylNi00,BAL,28,te,5,3,2,1,0.5,2,2,0,0,2,1,0.2,0.4,0
497,Danny Pinter\PintDa00,IND,25,g,16,3,1,1,1,2,2,1,1,2,2,0.1,0.1,0
498,Andrew Thomas\ThomAn02,NYG,22,T,13,13,1,1,1,2,2,1,1,2,2,0.1,0.2,0
499,Alex Armah\ArmaAl00,2TM,27,,11,2,1,1,1,1,1,1,1,1,1,0.1,0.1,0
500,Drew Lock\LockDr00,DEN,25,qb,6,3,1,1,1,1,1,0,0,1,1,0.2,0.2,2
501,Conor McDermott\McDeCo00,NYJ,29,ol,6,3,1,1,1,1,1,1,1,1,1,0.2,0.2,0
502,Terence Steele\SteeTe01,DAL,24,T,16,13,1,1,1,1,1,1,1,1,1,0.1,0.1,0
503,Christian Wilkins\WilkCh00,MIA,26,DT,17,17,1,1,1,1,1,1,1,1,1,0.1,0.1,1
504,Darrell Daniels\DaniDa02,ARI,27,te,15,4,4,1,0.25,0,0,0,0,0,0,0.1,0,0
505,Deon Yelder\YeldDe00,TAM,26,,5,0,1,1,1,0,0,0,0,0,0,0.2,0,0
506,Daniel Helm\HelmDa01,LVR,26,te,9,1,2,1,0.5,-1,-1,0,0,0,-0.5,0.1,-0.1,0
507,Larry Rountree\RounLa00,LAC,22,,12,0,2,1,0.5,-1,-1,0,0,0,-0.5,0.1,-0.1,0
508,Taylor Heinicke\HeinTa00,WAS,28,QB,16,15,1,1,1,-2,-2,0,0,-2,-2,0.1,-0.1,7
509,Mike Remmers\RemmMi00,KAN,32,t,4,2,1,1,1,-2,-2,0,0,-2,-2,0.3,-0.5,0
510,Diontae Spencer\SpenDi00,DEN,29,,15,0,4,1,0.25,-3,-3,0,0,0,-0.8,0.1,-0.2,2
511,Aaron Rodgers*+\RodgAa00,GNB,38,QB,16,16,1,1,1,-4,-4,0,0,-4,-4,0.1,-0.3,3
